stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"	
global	globalization	globalization|&|Globalization |&| globalisation	1	11,9142708474	64,4663040527	157,262179159	10	469	x	
good visibl	good visibility	good visibility	2	4,7209181291	33,7428163761	132,33426354	1	71	x	
good servic	goods and services	goods and services	3	12,589115011	63,8025149427	131,888939121	8	591	x	
agenc govern	government agencies	government agencies|&|government agency|&|Government Agency	2	9,4418362583	52,2895835152	358,007132272	5	239	x	
govern polici	government policies	government policies|&|government policy	2	7,8681968819	45,330390324	149,163952017	4	263	x	
carbon dioxid equival gram	grams of carbon dioxide equivalent	grams of carbon dioxide equivalent|&|grams carbon dioxide equivalent	5	7,9428472316	43,9130686939	224,086972686	4	289	x	
challeng great	great challenges	great challenges|&|great challenge	2	4,7209181291	28,5563577056	193,80283135	3	166	x	
great import	great importance	great importance	2	11,0154756347	57,2981123768	212,065179574	7	362	x	
build green	green buildings	green buildings	2	6,2945575055	38,0751436075	144,095192428	3	195	x	
chemistri green	green chemistry	green chemistry|&|Green chemistry	2	25,1782300221	130,967114004	227,29481478	7	356	x	
design green	green design	green design|&|Green design	2	7,8681968819	45,330390324	155,278484525	4	219	x	
green ict	green ICT	green ICT|&|Green ICT|&|green ict|&|greening ICT	2	17,3100331402	90,0398908778	222,09068725	7	330	x	
green ir system	Green IR systems	Green IR systems	3	7,9428472316	54,9241930222	140,420991761	1	77	x	
green product	green product	green product|&|green products|&|Green product	2	11,0154756347	57,2981123768	162,131603107	7	390	x	
ga greenhous	greenhouse gas	greenhouse gas|&|Greenhouse Gas|&|Greenhouse gas	2	72,3874113134	257,988191753	1467,88401531	60	4213	x	
emiss ga greenhous	greenhouse gas emissions	greenhouse gas emissions|&|Greenhouse Gas Emissions|&|Greenhouse gas emissions|&|greenhouse gas emission	3	81,4141841238	275,87721344	1035,63132352	42	2983	x	
gase greenhous	greenhouse gases	greenhouse gases	2	17,3100331402	82,216013407	344,914154428	12	833	x	
emiss greenhouse-ga	greenhouse-gas emissions	greenhouse-gas emissions	2	11,0154756347	58,9961554345	179,298244121	6	401	x	
greenwar	GreenWare	GreenWare	1	4,9642795197	37,7685969915	135,046542007	1	65	x	
grid	grid	grid|&|Grid|&|grids	1	19,857118079	97,300315359	205,660201013	18	964	x	
domest gross product	gross domestic product	gross domestic product	3	15,8856944632	76,8150130593	217,892679327	8	512	x	
ground theori	grounded theory	grounded theory	2	4,7209181291	30,4705252852	119,287424968	2	126	x	
group member	group members	group members	2	4,7209181291	30,4705252852	196,944797991	2	99	x	
group support system	group support systems	group support systems	3	5,9571354237	37,0639731435	236,908684467	2	74	x	
group system telework	Group Teleworking System	Group Teleworking System	3	7,9428472316	54,9241930222	160,691372036	1	26	x	
group work	group work	group work|&|Working Group	2	6,2945575055	36,2643122592	238,453819792	4	156	x	
grow number	growing number	growing number	2	6,2945575055	36,2643122592	151,778088467	4	172	x	
growth model	growth model	growth model	2	4,7209181291	30,4705252852	191,327374329	2	81	x	
growth rate	growth rate	growth rate|&|rate of growth	2	9,4418362583	50,5681332296	171,340670019	6	355	x	
guangzhou	Guangzhou	Guangzhou	1	5,9571354237	41,1931447667	147,731072447	2	121	x	
group guitang	guitang group	guitang group	2	6,2945575055	36,2643122592	236,209454582	4	225	x	
group hai hua	Hai Hua Group	Hai Hua Group	3	5,9571354237	37,0639731435	221,897025747	2	110	x	
ecosystem hai hua industri	Hai Hua industrial ecosystem	Hai Hua industrial ecosystem	4	7,9428472316	46,1980834466	257,838622789	3	145	x	
hardwar softwar	hardware and software	hardware and software	3	6,2945575055	36,2643122592	137,885475485	4	168	x	
harmon	harmonization	harmonization|&|Harmonization	1	7,9428472316	51,7036456108	239,955878827	3	245	x	
harvest product wood	harvested wood products	harvested wood products|&|harvested wood product	3	5,9571354237	37,0639731435	127,555901559	2	143	x	
hazard inciner waste-solv	hazardous waste-solvent incinerator	hazardous waste-solvent incinerator|&|hazardous waste-solvent incinerators	3	5,9571354237	37,0639731435	135,113237536	2	120	x	
health safeti	health and safety	health and safety	3	12,589115011	67,4241776394	270,654889775	6	307	x	
care health	health care	health care	2	17,3100331402	85,6896297957	250,079206452	9	568	x	
effect health	health effects	health effects|&|Health effects	2	6,2945575055	36,2643122592	169,956720678	4	239	x	
health issu	health issues	health issues	2	4,7209181291	28,5563577056	165,899078803	3	185	x	
health manag	health management	health management	2	9,4418362583	57,1127154113	196,305972025	3	165	x	
healthcar	healthcare	healthcare|&|Healthcare	1	8,9357031355	51,9728438774	332,861869895	8	330	x	
heat util	heat utilization	heat utilization	2	6,2945575055	44,9904218348	176,382572529	1	50	x	
heavi industri	heavy industry	heavy industry|&|heavy industries	2	7,8681968819	43,5746529293	151,278785242	5	278	x	
heavi metal	heavy metals	heavy metals	2	7,8681968819	43,5746529293	113,590666628	5	361	x	
help tool	helpful tool	helpful tool	2	6,2945575055	36,2643122592	143,642207154	4	237	x	
heurist	heuristics	heuristics|&|heuristic	1	7,9428472316	44,9736881461	129,763868754	10	498	x	
concept hidden robot	hidden robot concept	hidden robot concept	3	5,9571354237	41,1931447667	263,947945198	1	27	x	
educ higher	higher education	higher education|&|HIGHER EDUCATION	2	17,3100331402	104,706644921	164,689718221	3	178	x	
higher impact	higher impact	higher impact|&|higher impacts	2	6,2945575055	36,2643122592	155,958330397	4	316	x	
environment highest impact	highest environmental impact	highest environmental impact	3	9,9285590395	52,6758419438	169,103405803	5	363	x	
highest level	highest level	highest level|&|highest levels	2	6,2945575055	36,2643122592	177,802880583	4	204	x	
develop histor	historical development	historical development	2	4,7209181291	30,4705252852	127,759464801	2	142	x	
holist perspect	holistic perspective	holistic perspective	2	6,2945575055	36,2643122592	117,87752118	4	242	x	
home out-of-hom	home and out-of-home	home and out-of-home	3	6,2945575055	44,9904218348	156,759527333	1	48	x	
base home telework	home based telework	home based telework|&|home based teleworkers	3	7,9428472316	49,418630858	210,217323905	2	77	x	
home network	home networks	home networks|&|home network	2	17,3100331402	104,706644921	226,292616994	3	84	x	
home offic	home office	home office|&|home offices|&|office and home|&|home and office	2	25,1782300221	115,380802422	560,449442898	13	671	x	
home telework	HOME TELEWORKING	HOME TELEWORKING|&|home telework|&|home and telework|&|TELEWORKING FROM HOME	2	6,2945575055	36,2643122592	292,329671547	4	84	x	
home work	home work	home work|&|work at home|&|work from home|&|home and work|&|work and home|&|home working|&|Work at home|&|work home|&|Work for home	2	67,6664931843	249,132839879	916,20569333	34	1241	x	
home worker	home workers	home workers|&|home worker	2	20,4573118929	109,564288664	437,192123696	6	235	x	
busi home-bas	home-based businesses	home-based businesses|&|home-based business|&|Home-based Businesses	2	11,0154756347	71,0978923322	303,533015481	2	59	x	
home-bas telework	home-based telework	home-based telework|&|home-based teleworkers	2	20,4573118929	99,1141695558	310,895820125	10	402	x	
home-bas work	home-based work	home-based work	2	15,7363937638	79,7531436784	386,371525813	8	336	x	
homebas work	homebased work	homebased work	2	7,8681968819	50,7842088087	195,411502085	2	126	x	
homework	homeworkers	homeworkers|&|homework|&|Homeworkers |&| home workers|&|home worker	1	18,864262175	100,084099693	431,590148642	10	431	x	
hong kong	Hong Kong	Hong Kong|&|hong kong	2	15,7363937638	95,1878590188	130,480022215	3	163	x	
household	household	household|&|households|&|Household|&|Households	1	69,4999132764	275,948435245	259,590757281	58	3264	x	
applianc household	household appliances	household appliances	2	7,8681968819	50,7842088087	128,711002896	2	128	x	
consumpt household	household consumption	household consumption|&|Household consumption	2	17,3100331402	83,865835778	248,461065112	11	753	x	
consumpt household pattern	household consumption patterns	household consumption patterns	3	7,9428472316	46,1980834466	224,105716768	3	213	x	
energi household	household energy	household energy	2	7,8681968819	45,330390324	276,871615046	6	372	x	
household metabol	household metabolism	household metabolism	2	6,2945575055	38,0751436075	171,694311706	3	215	x	
household size	household size	household size	2	4,7209181291	30,4705252852	167,144442256	2	89	x	
housework	housework	housework	1	4,9642795197	32,3147785068	257,505357387	3	160	x	
commit hr	HR commitment	HR commitment	2	9,4418362583	67,4856327522	165,595923588	1	74	x	
hr manag	HR managers	HR managers	2	7,8681968819	47,5939295094	198,608220085	3	168	x	
activ human	Human activities	Human activities|&|human activities|&|Human activity|&|human activity	2	23,6045906457	104,791665436	205,365898964	15	905	x	
health human	human health	human health	2	17,3100331402	83,865835778	214,117850468	10	642	x	
human manag resourc	human resource management	human resource management|&|Human resource managers|&|human resources managers	3	19,857118079	101,731303206	286,275628202	6	247	x	
human right	human rights	human rights	2	6,2945575055	44,9904218348	146,980724589	1	45	x	
human toxic	human toxicity	human toxicity	2	11,0154756347	66,6315013132	191,009561071	3	186	x	
human-resourc manag	human-resource management	human-resource management	2	9,4418362583	50,5681332296	350,247420744	6	310	x	
assess cycl hybrid life	hybrid life cycle assessment	hybrid life cycle assessment|&|Hybrid Life Cycle Assessment	4	15,8856944632	78,9362519638	181,407063208	7	461	x	
hybrid process	hybrid process	hybrid process	2	6,2945575055	38,0751436075	214,7414521	3	145	x	
hydrogen	hydrogen	hydrogen	1	5,9571354237	37,0639731435	111,409200311	4	254	x	
i-deal	i-deals	i-deals	1	4,9642795197	34,3276206389	188,281937379	2	87	x	
applic ict	ICT applications	ICT applications|&|ICT Applications|&|application of ICT	2	18,8836725165	91,4900026669	256,175696247	12	827	x	
develop ict	ICT development	ICT development|&|ICT for development|&|development ICT|&|development of ICT|&|ict development|&|development with ICT|&|ict for development|&|ict and development	2	22,0309512693	109,059528831	248,836194479	9	401	x	
devic ict	ICT devices	ICT devices	2	4,7209181291	30,4705252852	222,791342074	2	78	x	
consumpt energi ict	ICT energy consumption	ICT energy consumption|&|ICT and energy consumption|&|energy consumption by ICT	3	7,9428472316	43,9130686939	270,065376555	4	176	x	
ict impact	ICT impacts	ICT impacts|&|ICT impact|&|impact of ICT|&|Impact of ICT	2	7,8681968819	43,5746529293	178,771073961	5	187	x	
ict industri	ICT industry	ICT industry	2	9,4418362583	52,2895835152	251,577967032	5	242	x	
ict infrastructur	ICT infrastructure	ICT infrastructure|&|ICT infrastructures|&|ict infrastructure	2	12,589115011	65,483557002	257,906388138	7	390	x	
ict innov	ICT innovation	ICT innovation|&|innovations in ICT|&|ICT AND INNOVATIONS	2	9,4418362583	54,3964683888	197,204697562	4	216	x	
ict literaci	ICT literacy	ICT literacy	2	4,7209181291	30,4705252852	139,542929359	2	134	x	
ict measur	ICT measures	ICT measures	2	6,2945575055	40,627367047	194,897403661	2	159	x	
ict polici	ICT policies	ICT policies	2	6,2945575055	40,627367047	232,570405962	2	91	x	
ict product	ICT products	ICT products|&|ICT product|&|ICT Products	2	15,7363937638	87,1493058586	199,961976688	5	258	x	
ict project	ICT projects	ICT projects	2	6,2945575055	40,627367047	164,1748144	2	111	x	
ict sector	ICT sector	ICT sector	2	9,4418362583	54,3964683888	220,009740748	4	206	x	
ict servic	ICT services	ICT services	2	18,8836725165	93,4795961407	285,170163326	9	494	x	
ict solut	ICT solutions	ICT solutions	2	20,4573118929	101,269562486	286,320501986	9	495	x	
ict system	ICT systems	ICT systems|&|ICT system	2	9,4418362583	50,5681332296	226,211095345	6	350	x	
ict tool	ICT tools	ICT tools	2	4,7209181291	28,5563577056	144,599769904	3	201	x	
consult id	ID consultancies	ID consultancies	2	12,589115011	89,9808436696	126,86508194	1	51	x	
gener idea	idea generation	idea generation|&|general idea|&|generation of ideas	2	9,4418362583	52,2895835152	163,000425034	5	252	x	
deal idiosyncrat	idiosyncratic deals	idiosyncratic deals	2	6,2945575055	40,627367047	188,281937379	2	87	x	
ie tool	IE tools	IE tools	2	6,2945575055	40,627367047	181,639198582	2	137	x	
ieee	IEEE	IEEE|&|ieee	1	6,9499913276	48,0586688945	183,678327258	2	101	x	
imbal	imbalances	imbalances|&|imbalance	1	4,9642795197	29,7788973245	151,117275956	5	262	x	
analysi impact	impact analysis	impact analysis|&|analysis of the impact|&|impacts analysis|&|Impact Analysis	2	7,8681968819	43,5746529293	104,733001735	7	376	x	
assess impact	impact assessment	impact assessment|&|Impact Assessment|&|assessment of the impacts|&|impact assessments	2	33,046426904	137,201467031	316,79990357	48	3280	x	
assess impact method	impact assessment method	impact assessment method	3	5,9571354237	34,648562585	136,65334954	3	336	x	
categori impact	impact categories	impact categories|&|impact category|&|Impact Categories	2	58,224656926	231,120308008	690,786547153	26	1789	x	
impact indic	impact indicators	impact indicators	2	6,2945575055	36,2643122592	147,32144473	5	412	x	
environ impact	impact on the environment	impact on the environment|&|impacts on environment|&|impacts on the environment	4	6,2945575055	36,2643122592	105,024334682	4	243	x	
impact reduct	impact reduction	impact reduction|&|impact reductions|&|impacts reduction	2	6,2945575055	38,0751436075	213,410495432	8	562	x	
biodivers impact	impacts on biodiversity	impacts on biodiversity	3	4,7209181291	30,4705252852	134,597497023	2	118	x	
implement issu	implementation issues	implementation issues	2	4,7209181291	28,5563577056	153,020117144	3	146	x	
implement telework	implementation of telework	implementation of telework|&|implementing telework|&|telework implementation|&|teleworking implementation|&|implementation whether telework	3	22,0309512693	102,721619112	294,077219709	12	498	x	
concept implement	implementation of the concept	implementation of the concept|&|implementation of this concept	4	6,2945575055	36,2643122592	171,409527929	4	217	x	
implement process	implementation process	implementation process	2	9,4418362583	50,5681332296	145,785755477	6	331	x	
futur implic	implications for future	implications for future|&|future implications	3	4,7209181291	28,5563577056	178,087409126	3	173	x	
find implic	implications of these findings	implications of these findings|&|implications of the findings|&|Implications of the findings|&|Implications of these findings	4	9,4418362583	50,5681332296	373,865110383	7	336	x	
aspect import	important aspect	important aspect|&|important aspects	2	11,0154756347	57,2981123768	176,133310564	7	273	x	
basi import	important basis	important basis	2	4,7209181291	28,5563577056	202,570276727	3	146	x	
compon import	important component	important component	2	4,7209181291	28,5563577056	184,951384265	3	165	x	
import issu	important issues	important issues|&|important issue	2	9,4418362583	50,5681332296	137,893885678	6	332	x	
import role	important roles	important roles	2	6,2945575055	36,2643122592	115,210895372	4	253	x	
import task	important task	important task	2	4,7209181291	28,5563577056	120,946670941	3	161	x	
improv manag	improved management	improved management|&|management improvement|&|management and improvement	2	6,2945575055	36,2643122592	135,931155345	4	280	x	
improv market method quiz	improved Market Quiz Method	improved Market Quiz Method|&|Improved Market Quiz Method|&|improved market quiz method	4	5,9571354237	41,1931447667	158,157776866	1	18	x	
effici energi improv	improvement of energy efficiency	improvement of energy efficiency|&|improving energy efficiency|&|improvement in energy efficiency|&|energy efficiency improvements	4	15,8856944632	81,3850425648	241,692168001	8	468	x	
in-depth interview	in-depth interviews	in-depth interviews	2	6,2945575055	36,2643122592	174,812821063	4	231	x	
copper in-us stock	in-use copper stock	in-use copper stock|&|in-use stock of copper|&|In-Use Stock of Copper	3	7,9428472316	46,1980834466	166,427039443	3	185	x	
in-us stock	in-use stock	in-use stock|&|in-use stocks|&|In-Use Stock|&|stock of in-use	2	23,6045906457	119,629715518	343,198016221	10	606	x	
incent	incentives	incentives|&|incentive	1	19,857118079	96,0187663241	109,559453412	18	990	x	
inciner	incineration	incineration|&|incinerator|&|incinerators	1	11,9142708474	64,4663040527	199,964910448	11	704	x	
incom level	income level	income level	2	7,8681968819	45,330390324	154,108125176	4	232	x	
futur increas	increase in the future	increase in the future	4	4,7209181291	28,5563577056	106,269473928	3	211	x	
attent increas	increased attention	increased attention|&|increase attention	2	6,2945575055	36,2643122592	181,54497222	4	275	x	
increas product	increased productivity	increased productivity|&|productivity increase|&|increases productivity|&|increased production|&|increase production|&|increase productivity|&|increase the productivity|&|increase in the productivity|&|production increase	2	18,8836725165	88,0471020957	130,531879403	12	766	x	
increas use	increased use	increased use|&|increasing use|&|increase the use|&|increase of the use	2	22,0309512693	106,738336445	116,22869465	10	615	x	
demand increas	increasing demand	increasing demand|&|demand increases|&|increase as the demand|&|increase in the demand	2	11,0154756347	57,2981123768	108,453715945	7	491	x	
analysi decomposit index	index decomposition analysis	index decomposition analysis	3	5,9571354237	37,0639731435	179,407733837	2	130	x	
india	India	India|&|india |&| Indian|&|indian	1	31,7713889264	148,170104769	150,660809935	21	1083	x	
effect indirect	indirect effects	indirect effects	2	6,2945575055	38,0751436075	184,170985879	3	185	x	
flow indirect	indirect flows	indirect flows	2	11,0154756347	63,4625464536	259,690504823	4	227	x	
indirect rebound	indirect rebound	indirect rebound	2	14,1627543874	91,4115758557	170,877247441	2	138	x	
characterist individu	individual characteristics	individual characteristics	2	12,589115011	65,483557002	298,868132544	7	341	x	
compani individu	individual companies	individual companies|&|Individual Companies|&|individual company	2	6,2945575055	36,2643122592	138,439158217	4	227	x	
indonesia	indonesia	indonesia|&|Indonesia	1	6,9499913276	41,6904562543	235,004139819	5	241	x	
induct motor	induction motors	induction motors|&|induction motor	2	14,1627543874	78,4343752728	230,912290421	5	245	x	
activ industri	industrial activity	industrial activity|&|industrial activities	2	29,8991481512	134,798937638	149,529556004	14	906	x	
area industri	industrial area	industrial area|&|industrial areas	2	20,4573118929	106,410780128	163,151742335	7	453	x	
by-product industri	industrial by-products	industrial by-products	2	6,2945575055	40,627367047	119,098340643	2	117	x	
chain industri	industrial chain	industrial chain|&|Industry Chain	2	9,4418362583	57,1127154113	291,48716054	3	112	x	
cluster industri	industrial clusters	industrial clusters|&|industrial cluster|&|industry clusters|&|Industrial Clusters	2	9,4418362583	57,1127154113	149,654388719	4	218	x	
design industri	industrial designers	industrial designers|&|industrial design|&|Industrial design|&|design industrial|&|industrial designs	2	9,4418362583	50,5681332296	129,215274097	6	242	x	
develop industri	industrial development	industrial development|&|Industrial Development	2	15,7363937638	77,8996634506	167,5950567	9	421	x	
ecologist industri	industrial ecologists	industrial ecologists	2	12,589115011	65,483557002	147,900552296	7	423	x	
ecolog industri	industrial ecology	industrial ecology|&|Industrial ecology|&|Industrial Ecology|&|INDUSTRIAL ECOLOGY|&|ecology and industry|&|ecological industry|&|industry ecology	2	955,199101462	1017,56647535	1098,13921017	448	25861	x	
approach ecolog industri	Industrial Ecology Approach	Industrial Ecology Approach|&|approaches of industrial ecology	3	5,9571354237	34,648562585	126,389311755	3	130	x	
ecolog educ industri	industrial ecology education	industrial ecology education|&|education in industrial ecology	3	5,9571354237	37,0639731435	225,704764669	2	62	x	
ecolog implement industri	industrial ecology in the implementation	industrial ecology in the implementation|&|industrial ecology implementation|&|implementation of industrial ecology	5	5,9571354237	34,648562585	140,905719422	3	202	x	
ecolog industri perspect	industrial ecology perspective	industrial ecology perspective|&|perspective of industrial ecology	3	11,9142708474	63,2110103326	246,017268133	5	326	x	
ecolog industri principl	industrial ecology principles	industrial ecology principles|&|principles of industrial ecology	3	33,7571007343	142,011896912	357,552363573	15	858	x	
ecosystem industri	industrial ecosystem	industrial ecosystem|&|industrial ecosystems|&|Industrial ecosystems|&|Industry Ecosystem|&|ecosystem industrial	2	58,224656926	226,459848814	640,749512427	26	1334	x	
estat industri	industrial estate	industrial estate|&|Industrial estates|&|Industrial estate	2	17,3100331402	111,725259379	110,00015602	2	125	x	
industri metabol	industrial metabolism	industrial metabolism|&|Industrial metabolism	2	31,4727875276	137,691013418	260,352705021	16	953	x	
industri network	industrial networks	industrial networks	2	6,2945575055	36,2643122592	170,836874161	4	217	x	
industri park	industrial parks	industrial parks|&|industrial park|&|Industrial Park	2	23,6045906457	116,849495176	190,758342414	9	460	x	
industri revolut	industrial revolution	industrial revolution|&|Industrial Revolution	2	7,8681968819	45,330390324	166,620925326	4	212	x	
industri sector	industrial sectors	industrial sectors|&|industrial sector|&|industry sectors|&|industry sector	2	37,7673450331	156,801676607	275,97815909	20	1272	x	
industri sustain	industrial sustainability	industrial sustainability|&|sustainability in industry|&|Industrial sustainability|&|sustainability within the industry	2	11,0154756347	61,004514101	175,817026214	5	289	x	
industri symbiosi	industrial symbiosis	industrial symbiosis|&|Industrial Symbiosis|&|Industrial symbiosis	2	122,743871358	434,095182027	289,125011288	37	2112	x	
industri network symbiosi	industrial symbiosis networks	industrial symbiosis networks	3	5,9571354237	34,648562585	154,28678213	3	156	x	
industri system	industrial systems	industrial systems|&|industrial system|&|industry system	2	44,0619025386	185,195369513	203,509033524	19	1116	x	
industri wast	industrial waste	industrial waste|&|industrial wastes|&|waste industry	2	9,4418362583	50,5681332296	175,695683436	6	360	x	
countri industri	industrialized countries	industrialized countries|&|industrial countries|&|Industrializing Countries	2	15,7363937638	79,7531436784	148,892884262	8	580	x	
industri societi	industrialized societies	industrialized societies|&|industry and society|&|industrial society	2	7,8681968819	43,5746529293	168,797505684	5	312	x	
industri world	industrialized world	industrialized world|&|industrial world	2	11,0154756347	58,9961554345	233,716318175	6	268	x	
govern industri	industry and government	industry and government|&|government and industry	3	7,8681968819	43,5746529293	221,498462809	5	247	x	
industri standard	industry standards	industry standards|&|industrial standards	2	7,8681968819	45,330390324	118,028158872	4	289	x	
industri structur	industry structure	industry structure|&|industrial structure	2	7,8681968819	45,330390324	190,822502771	4	276	x	
develop industri sustain	industry sustainable development	industry sustainable development|&|sustainable industrial development|&|industrial sustainable development|&|Sustainable Development in the Industry|&|Industry Sustainable Development	3	17,8714062711	98,8044045612	160,052814195	5	249	x	
industry-relev	industry-relevant	industry-relevant|&|INDUSTRY-RELEVANT	1	4,9642795197	34,3276206389	256,583315827	2	145	x	
ineffici	inefficiencies	inefficiencies|&|inefficiency	1	5,9571354237	34,648562585	233,449829258	6	373	x	
age inform	information age	information age	2	7,8681968819	45,330390324	202,723869681	4	142	x	
commun inform technolog	information and communication technology	information and communication technology|&|information and communication technologies|&|Information and Communication Technologies|&|Information and Communication Technology|&|information communication technology|&|information and communications technology|&|Information Communication Technologies|&|Information and communication technologies|&|information communication technologies|&|Information and Communications Technology|&|information communications technology|&|information and communications technologies|&|Information and communication technology|&|Information Communication Technology|&|Information communication technology|&|Information Communications Technology|&|Information and Communications Technologies|&|Information & Communications Technology|&|communication and information technologies|&|information communication and technology	4	329,628160111	674,877585242	2493,38049267	131	6812	x	
commun inform	information communication	information communication|&|Information Communication|&|information communications|&|Information communication|&|communication information|&|information and communication|&|Information and Communication	2	9,4418362583	52,2895835152	516,084607434	20	964	x	
flow inform	information flows	information flows|&|Information about the flow	2	6,2945575055	38,0751436075	107,060077638	3	215	x	
inform network	information networks	information networks|&|networked information|&|network information|&|information networked	2	6,2945575055	36,2643122592	156,741864645	4	211	x	
inform profession	information professionals	information professionals|&|informed professionals	2	6,2945575055	36,2643122592	185,014518461	4	84	x	
inform resourc	information resources	information resources|&|resource information|&|information resource	2	7,8681968819	45,330390324	135,179677753	4	245	x	
inform revolut	information revolution	information revolution|&|INFORMATION REVOLUTION	2	9,4418362583	57,1127154113	261,112220578	3	91	x	
inform rich	information richness	information richness	2	6,2945575055	36,2643122592	188,132081154	4	251	x	
inform societi	information society	information society|&|Information Society|&|Information society	2	77,1083294426	286,343650812	904,856539258	34	1429	x	
develop inform societi	information society development	information society development|&|development of the information society|&|Information Society Development|&|development of information society|&|development from the information society|&|development of an information society	3	13,8999826553	71,2119122442	190,203697349	6	403	x	
inform system	information systems	information systems|&|information system|&|Information Systems|&|Information System|&|Information systems	2	64,5192144315	253,472484234	242,652425986	28	1477	x	
inform technolog	information technology	information technology|&|information technologies|&|Information technology|&|Information Technology|&|INFORMATION TECHNOLOGY|&|technologies of information	2	110,154756347	352,084093023	695,399303769	57	2377	x	
inform transfer	information transfer	information transfer|&|transfer information	2	4,7209181291	28,5563577056	134,815675289	3	208	x	
inform work	information work	information work|&|Information Work|&|work with information	2	4,7209181291	28,5563577056	171,146254747	3	130	x	
infrastructur	infrastructure	infrastructure|&|infrastructures|&|Infrastructure|&|INFRASTRUCTURES	1	99,2855903949	339,399595218	212,202097913	93	5383	x	
innov process	innovation process	innovation process|&|process innovation	2	6,2945575055	36,2643122592	135,780617221	4	262	x	
innov system	innovation system	innovation system|&|innovation systems|&|system innovation|&|innovation in the system	2	14,1627543874	78,4343752728	200,625294191	5	269	x	
innov solut	innovative solutions	innovative solutions	2	6,2945575055	38,0751436075	141,435536859	3	208	x	
data input	input data	input data|&|data input	2	11,0154756347	57,2981123768	162,369816487	7	534	x	
analysi input-output	input-output analysis	input-output analysis	2	39,3409844095	156,162370275	265,909007171	26	1748	x	
approach input-output	input-output approach	input-output approach	2	9,4418362583	52,2895835152	148,157275745	5	355	x	
assess cycl input-output life	input-output life cycle assessment	input-output life cycle assessment	4	5,9571354237	34,648562585	133,136642367	3	190	x	
input-output model	input-output model	input-output model	2	15,7363937638	79,7531436784	163,068384771	8	559	x	
input-output tabl	input-output table	input-output table|&|input-output tables|&|Input-Output Table	2	7,8681968819	43,5746529293	218,168925171	8	476	x	
input output	inputs and outputs	inputs and outputs|&|input output	3	9,4418362583	50,5681332296	162,790190246	6	356	x	
capac institut	institutional capacity	institutional capacity	2	4,7209181291	33,7428163761	125,263949921	1	69	x	
institut theori	institutional theory	institutional theory	2	4,7209181291	28,5563577056	221,67897831	3	157	x	
approach integr	integrated approach	integrated approach|&|INTEGRATED APPROACH	2	18,8836725165	93,4795961407	131,114080754	9	579	x	
design integr manag	integrated design and management	integrated design and management|&|integrating design and management	4	7,9428472316	46,1980834466	221,749113081	3	179	x	
integr model	integrated model	integrated model|&|model integration|&|integration of the model	2	6,2945575055	38,0751436075	104,641624884	3	228	x	
integr polici product	integrated product policy	integrated product policy	3	7,9428472316	43,9130686939	157,721948986	4	237	x	
intellectu properti right	intellectual property rights	intellectual property rights	3	7,9428472316	43,9130686939	119,413536823	4	303	x	
intellig product	Intelligent Products	Intelligent Products	2	6,2945575055	44,9904218348	156,429071028	1	40	x	
intellig system transport	Intelligent Transportation Systems	Intelligent Transportation Systems|&|intelligent transport systems	3	7,9428472316	43,9130686939	177,412405682	4	223	x	
adopt intens telework	intensity of telework adoption	intensity of telework adoption	4	5,9571354237	37,0639731435	323,181079118	2	105	x	
inter-firm	inter-firm	inter-firm	1	5,9571354237	34,648562585	242,44414587	6	343	x	
integr inter-pl water	inter-plant water integration	inter-plant water integration	3	5,9571354237	41,1931447667	202,136543422	1	49	x	
intercultur problem	intercultural problem	intercultural problem	2	4,7209181291	33,7428163761	163,412357474	1	33	x	
interindustri model	interindustry model	interindustry model	2	4,7209181291	30,4705252852	140,107944044	2	119	x	
intern trade	international trade	international trade|&|International Trade	2	20,4573118929	101,269562486	226,85162889	9	591	x	
internet	Internet	Internet|&|internet|&|INTERNET	1	71,4856250843	257,40107901	505,096351561	66	3123	x	
access internet	Internet access	Internet access|&|accessing Internet|&|internet accessibility	2	6,2945575055	36,2643122592	220,639195471	4	181	x	
internet thing	internet of things	internet of things|&|Internet of Things	3	14,1627543874	73,6690016273	197,853686045	7	308	x	
internet servic	internet services	internet services|&|Internet service|&|internet service	2	11,0154756347	61,004514101	128,081972609	5	319	x	
internet use	internet use	internet use|&|Internet use|&|INTERNET USE|&|use Internet|&|use of internet|&|use of the Internet	2	15,7363937638	84,2802220493	200,399983689	6	280	x	
intrins motiv	intrinsic motivation	intrinsic motivation	2	6,2945575055	40,627367047	170,415039363	2	75	x	
introduct telework	introduction of telework	introduction of telework|&|teleworking introduction	3	6,2945575055	38,0751436075	174,696713542	3	113	x	
data inventori	inventory data	inventory data	2	7,8681968819	43,5746529293	142,101712946	9	676	x	
ioa	ioa	ioa	1	14,8928385592	72,9752365193	198,397396773	15	1006	x	
grid iot smart	IoT in Smart Grid	IoT in Smart Grid	4	5,9571354237	41,1931447667	190,021550391	1	35	x	
ip	IP	IP|&|ip|&|IPs	1	14,8928385592	84,3256652739	169,589575788	7	293	x	
ireland	Ireland	Ireland	1	4,9642795197	30,8866442863	185,345132347	4	199	x	
iron	iron	iron|&|Iron	1	23,8285416948	115,222519589	320,54422017	27	1633	x	
