stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
ga greenhous reduct	greenhouse gas reduction	greenhouse gas reduction|&|greenhouse gas reductions|&|reductions in greenhouse gas|&|reduction in greenhouse gas	3	11,9142708474	65,8696030408	312,569655739	6,0	439,0	 
consum	consumer	consumer|&|consumers|&|Consumer	1	90,3498872594	340,17112591	183,330127216	111,0	6198,0	 
direct weee	WEEE Directive	WEEE Directive	2	15,7363937638	88,2350048512	187,300734136	7,0	458,0	 
machine-to-machin	Machine-to-Machine	Machine-to-Machine|&|machine-to-machine	1	11,9142708474	66,906280153	176,402592324	11,0	456,0	 
design improv	design improvements	design improvements|&|improved design	2	11,0154756347	63,4625464536	217,047085378	6,0	405,0	 
mill	mill	mill|&|mills|&|Mill	1	24,8213975987	124,548933757	168,23632209	21,0	1157,0	 
osb	OSB	OSB	1	6,94999132764	50,8766478795	225,086728418	2,0	137,0	 
assess impact sustain	sustainability impact assessment	sustainability impact assessment	3	5,95713542369	37,0639731435	213,135496725	3,0	165,0	 
zero-field	zero-field	zero-field|&|ZERO-FIELD	1	5,95713542369	38,150087348	164,988147844	7,0	283,0	 
comput teacher	computer teachers	computer teachers	2	9,44183625827	64,7693857297	187,079944199	2,0	76,0	 
elementari school	elementary school	elementary school|&|elementary schools	2	6,29455750551	40,627367047	214,320429385	3,0	161,0	 
extract materi raw	raw material extraction	raw material extraction	3	5,95713542369	37,0639731435	176,627348495	3,0	84,0	 
pyrit	pyrite	pyrite|&|Pyrite	1	6,94999132764	43,2413020008	228,657656999	8,0	379,0	 
ecolog industri	industrial ecology	industrial ecology|&|Industrial ecology|&|Industrial Ecology|&|INDUSTRIAL ECOLOGY|&|ecology and industry|&|ecology industry	2	794,687885071	1112,75683332	22199,1641927	488,0	7439,0	 
congest traffic urban	urban traffic congestion	urban traffic congestion	3	7,94284723159	47,1336161053	165,362916497	4,0	222,0	 
intermedi	intermediates	intermediates	1	7,94284723159	47,1336161053	158,946934127	8,0	342,0	 
turbin	turbine	turbine|&|turbines|&|Turbine	1	6,94999132764	43,2413020008	255,82469686	23,0	1215,0	 
decis	decision	decision|&|decisions|&|Decision	1	109,214149434	374,448337354	290,226166297	182,0	10218,0	 
short term	short term	short term	2	15,7363937638	82,6222274877	213,781909676	10,0	747,0	 
corpor respons social	corporate social responsibility	corporate social responsibility|&|Corporate social responsibility	3	23,8285416948	119,566976407	256,796366315	10,0	395,0	 
ecopass	Ecopass	Ecopass	1	5,95713542369	43,6085553253	209,799800428	2,0	86,0	 
conserv energi	energy conservation	energy conservation|&|Energy conservation|&|conserving energy|&|conservation of energy	2	37,7673450331	174,052228791	181,160495457	21,0	1028,0	 
sourc	sources	sources|&|source|&|Sources|&|Source	1	158,856944632	489,130599575	188,266291887	268,0	15992,0	 
congest	congestion	congestion|&|Congestion	1	44,6785156777	196,702499542	604,538255016	95,0	4589,0	 
donor electron	electron donor	electron donor	2	6,29455750551	38,8165356986	216,341932869	4,0	226,0	 
desulfur	desulfurization	desulfurization	1	6,94999132764	44,5084352394	166,868978737	6,0	172,0	 
tillag	tillage	tillage	1	7,94284723159	48,1942355575	163,466585216	9,0	595,0	 
catalonia	Catalonia	Catalonia	1	8,93570313554	51,9728438774	199,777602704	9,0	729,0	 
ecolog landscap	landscape ecology	landscape ecology	2	6,29455750551	38,8165356986	214,673834274	4,0	192,0	 
final good	final goods	final goods	2	6,29455750551	43,1795904865	203,962453168	2,0	111,0	 
administr	administration	administration|&|Administration|&|administrators|&|administrations	1	40,7070920619	186,420167542	160,589917972	40,0	2023,0	 
global scale	global scale	global scale|&|global scales	2	15,7363937638	82,6222274877	225,648708928	10,0	644,0	 
provinc zhejiang	Zhejiang Province	Zhejiang Province	2	6,29455750551	43,1795904865	168,464634837	2,0	103,0	 
commun remot	remote communities	remote communities	2	6,29455750551	38,8165356986	176,998578875	4,0	218,0	 
c soil	soil C	soil C	2	9,44183625827	60,9410505705	169,603153627	4,0	289,0	 
demand water	water demand	water demand|&|water demands	2	18,8836725165	95,7037724141	291,632186717	12,0	658,0	 
cost sustain	cost of sustainability	cost of sustainability|&|sustainability through cost	3	6,29455750551	40,627367047	215,153473308	3,0	122,0	 
mobil phone	mobile phones	mobile phones|&|mobile phone	2	36,1937056567	170,82572049	181,696024033	17,0	788,0	 
subway	subway	subway|&|subways	1	12,9071267513	71,3587366275	205,667782147	20,0	893,0	 
team virtual	virtual teams	virtual teams	2	11,0154756347	63,4625464536	191,195498954	7,0	315,0	 
challeng key	key challenge	key challenge|&|key challenges	2	11,0154756347	61,7645033959	189,980334916	7,0	370,0	 
applic ict	ICT applications	ICT applications|&|ICT Applications|&|application of ICT|&|ICT application	2	15,7363937638	84,2802220493	496,359729083	13,0	754,0	 
prevent	prevention	prevention|&|Prevention	1	24,8213975987	123,337893693	262,450005614	61,0	2590,0	 
indic system	indicator system	indicator system|&|indicator systems|&|indicators system	2	20,4573118929	103,679086782	281,433194365	12,0	557,0	 
work	work	work|&|works|&|Works|&|Work	1	257,149679123	665,654390354	162,410929683	286,0	15625,0	 
effici improv	efficiency improvement	efficiency improvement|&|efficiency improvements|&|improved efficiency|&|improvement in the efficiency	2	6,29455750551	38,8165356986	193,980272182	7,0	379,0	 
trend	trends	trends|&|trend|&|Trends	1	128,078411609	416,429456014	155,088640151	145,0	8374,0	 
cost	cost	cost|&|costs|&|Cost|&|Costs|&|COST|&|COSTS	1	275,021085394	725,576825476	299,378390755	366,0	19783,0	 
effect environment	environmental effects	environmental effects|&|Environmental effects|&|environmental effect	2	33,046426904	150,600640088	164,395349783	20,0	1291,0	 
chang climat global	global climate change	global climate change	3	25,8142535027	127,070529965	465,040307236	11,0	618,0	 
bacteria	bacteria	bacteria	1	5,95713542369	38,150087348	183,998776777	8,0	414,0	 
precipit	precipitation	precipitation|&|precipitates	1	28,7928212145	143,071956684	237,251246411	22,0	1298,0	 
approach design	design approach	design approach|&|design approaches|&|approach of the design	2	7,86819688189	48,5206696233	158,110249231	6,0	387,0	 
co2 emiss indirect	indirect co2 emissions	indirect co2 emissions|&|indirect CO2 emissions|&|CO2 indirect emissions	3	5,95713542369	37,0639731435	228,24777714	3,0	115,0	 
bc	BC	BC	1	11,9142708474	76,300174696	178,747178748	5,0	335,0	 
melt	melt	melt	1	4,96427951974	32,8994864184	274,410556831	4,0	152,0	 
extract resourc	resource extraction	resource extraction	2	15,7363937638	90,6607806479	179,221789818	6,0	406,0	 
coastal water	coastal waters	coastal waters	2	7,86819688189	46,7649322286	158,244445066	5,0	296,0	 
systol	systolic	systolic|&|Systolic	1	6,94999132764	46,0592809858	195,019897798	4,0	195,0	 
kyoto protocol	Kyoto Protocol	Kyoto Protocol|&|Kyoto protocol|&|kyoto protocol	2	29,8991481512	141,116899535	195,787619405	17,0	976,0	 
improv qualiti	quality improvement	quality improvement|&|improvement of the quality|&|improvement quality	2	9,44183625827	54,3964683888	243,932791539	7,0	433,0	 
system theori	system theory	system theory|&|systems theory	2	7,86819688189	48,5206696233	164,141529582	4,0	219,0	 
fire risk	fire risk	fire risk	2	7,86819688189	48,5206696233	173,595564657	4,0	229,0	 
concept key	key concept	key concept|&|key concepts	2	12,589115011	68,9069618216	208,96076719	8,0	482,0	 
era	era	era|&|ERA	1	16,8785503671	88,4596146248	156,670892017	16,0	827,0	 
environment manag	environmental management	environmental management|&|Environmental Management	2	77,1083294426	288,872019272	393,479082694	48,0	1741,0	 
care health	health care	health care|&|Health Care	2	33,046426904	157,974737146	511,258887903	20,0	989,0	 
analysi sensit	sensitivity analysis	sensitivity analysis|&|Sensitivity analysis	2	47,2091812914	200,976079443	213,583268816	27,0	1491,0	 
osmosi	osmosis	osmosis|&|Osmosis	1	6,94999132764	43,2413020008	187,769267602	6,0	330,0	 
gener	generation	generation|&|generations|&|Generation|&|generator|&|generators|&|generative|&|Generic|&|generalization|&|GENERAL	1	109,214149434	382,541976499	451,765293552	219,0	12571,0	 
coeffici	coefficient	coefficient|&|coefficients	1	39,714236158	180,612458885	167,171895063	45,0	2541,0	 
water	water	water|&|waters|&|Water|&|Waters|&|WATER	1	277,999653106	745,266616288	297,332587706	476,0	24136,0	 
address	address	address|&|addresses	1	109,214149434	376,700255267	312,666949846	134,0	8054,0	 
ratio	ratio	ratio|&|ratios|&|Ratio	1	89,3570313554	333,915715733	200,03624948	91,0	5007,0	 
maker polici	policy makers	policy makers|&|Policy makers	2	75,5346900662	286,410658276	304,966327498	49,0	3292,0	 
cycle-bas life	life cycle-based	life cycle-based	2	6,29455750551	38,8165356986	168,902166558	4,0	250,0	 
improv intens materi	improvements in material intensity	improvements in material intensity	4	5,95713542369	37,0639731435	194,712181382	3,0	226,0	 
marin organ	marine organisms	marine organisms	2	6,29455750551	40,627367047	173,872421756	3,0	173,0	 
precursor	precursor	precursor|&|precursors|&|Precursors	1	29,7856771185	144,028149486	323,390005681	24,0	1257,0	 
long-term sustain	long-term sustainability	long-term sustainability	2	6,29455750551	38,8165356986	157,117332634	4,0	233,0	 
diffus technolog	technology diffusion	technology diffusion|&|diffusion of technologies	2	7,86819688189	46,7649322286	201,497798477	7,0	346,0	 
multicast	multicast	multicast|&|Multicast	1	7,94284723159	50,8667831307	181,836139772	5,0	223,0	 
throughput	throughput	throughput	1	8,93570313554	53,0253181185	182,685724739	14,0	859,0	 
scienc social	social sciences	social sciences	2	11,0154756347	61,7645033959	287,058240395	7,0	359,0	 
insar	InSAR	InSAR	1	4,96427951974	36,3404627711	172,175425376	2,0	136,0	 
economi region	regional economy	regional economy	2	7,86819688189	46,7649322286	175,277374164	5,0	251,0	 
anthropogen phosphoru	Anthropogenic phosphorus	Anthropogenic phosphorus|&|anthropogenic phosphorus	2	6,29455750551	38,8165356986	174,144484733	4,0	258,0	 
develop strategi	development strategy	development strategy|&|development strategies|&|Development Strategy|&|developing strategies|&|strategy development|&|strategy for development	2	36,1937056567	159,885055587	407,847307193	37,0	1924,0	 
develop human knowledg	human development and knowledge	human development and knowledge	4	5,95713542369	39,4793837021	199,514719229	2,0	92,0	 
assess system	assessment system	assessment system|&|Assessment System|&|system assessments|&|system assessment	2	11,0154756347	63,4625464536	164,260328264	7,0	312,0	 
input paramet	input parameters	input parameters	2	9,44183625827	56,1179186744	238,562551401	5,0	280,0	 
energi usag	energy usage	energy usage	2	9,44183625827	54,3964683888	180,920576674	6,0	361,0	 
environment trade-off	environmental trade-offs	environmental trade-offs	2	6,29455750551	40,627367047	191,356350556	3,0	190,0	 
emergi	emergy	emergy	1	13,8999826553	78,0573268452	223,772653404	14,0	504,0	 
zn2	Zn2	Zn2	1	4,96427951974	32,8994864184	207,385071812	4,0	204,0	 
assemblag	assemblages	assemblages|&|assemblage	1	21,8428298869	124,743357658	221,065438106	17,0	955,0	 
peat soil	peat soils	peat soils	2	6,29455750551	40,627367047	156,966376099	3,0	223,0	 
visibl	visibility	visibility|&|Visibility	1	35,7428125422	194,747857627	218,23763259	18,0	1061,0	 
instal	installation	installation|&|installations	1	30,7785330224	145,20389875	176,326829977	27,0	1622,0	 
co2 emiss increas	increase in CO2 emissions	increase in CO2 emissions|&|increase of CO2 emissions	4	5,95713542369	37,0639731435	187,36389585	3,0	183,0	 
mobil	mobility	mobility|&|mobilization|&|Mobile|&|Mobilization|&|Mobility|&|mobilizes	1	60,5642101409	241,54131162	171,082008927	71,0	3646,0	 
market	market	market|&|markets|&|Market|&|MARKET	1	139,992682457	465,082208916	214,007450398	168,0	9794,0	 
product system	production systems	production systems|&|production system|&|product system|&|product systems|&|system product	2	100,712920088	362,74103151	281,983490581	57,0	3669,0	 
market price	market price	market price|&|market prices	2	6,29455750551	38,8165356986	201,392555233	4,0	230,0	 
passeng sector transport urban	urban passenger transportation sector	urban passenger transportation sector	4	7,94284723159	52,6391782695	210,048682799	2,0	140,0	 
dmabn	DMABN	DMABN	1	6,94999132764	50,8766478795	165,69861018	2,0	96,0	 
msw	MSW	MSW|&|msw	1	23,8285416948	126,422020665	197,587067716	15,0	800,0	 
avail public transport	availability of public transportation	availability of public transportation|&|public transportation availability	4	5,95713542369	37,0639731435	184,039961649	3,0	160,0	 
univers	University	University|&|university|&|universities|&|Universities	1	72,4784809883	282,859117996	335,049694397	83,0	4402,0	 
energi wind	wind energy	wind energy	2	22,0309512693	120,587183188	183,021173086	9,0	311,0	 
thermal treatment	thermal treatment	thermal treatment|&|thermal treatments	2	14,1627543874	77,5203320494	215,212265675	8,0	489,0	 
gener power system	power generation systems	power generation systems	3	7,94284723159	49,418630858	275,559081901	3,0	154,0	 
percept	perceptions	perceptions|&|perception|&|Perception	1	63,5427778527	261,905348137	162,438967591	53,0	2953,0	 
peru	Peru	Peru	1	6,94999132764	46,0592809858	154,366242273	4,0	272,0	 
criteria	criteria	criteria|&|Criteria	1	76,4499046041	295,89190791	246,108357305	99,0	5709,0	 
flander	Flanders	Flanders|&|flanders	1	6,94999132764	43,2413020008	166,190405982	6,0	153,0	 
bagass fiber sugarcan	sugarcane bagasse fibers	sugarcane bagasse fibers	3	7,94284723159	47,1336161053	166,067928345	4,0	157,0	 
energi hydrogen public	Hydrogen Energy Publications	Hydrogen Energy Publications	3	5,95713542369	37,0639731435	251,794087698	3,0	149,0	 
today	today	today|&|Today	1	67,5142014685	262,387389722	158,386830823	63,0	3462,0	 
design tool	design tool	design tool|&|design tools	2	14,1627543874	77,5203320494	270,753630188	8,0	423,0	 
perform thermal	thermal performance	thermal performance	2	9,44183625827	54,3964683888	161,264381675	6,0	317,0	 
flow inform	information flow	information flow|&|information flows	2	12,589115011	70,588003881	229,874340176	7,0	407,0	 
peopl	people	people|&|peoples|&|People	1	98,2927344909	350,992154259	237,625136504	101,0	5747,0	 
curriculum	curriculum	curriculum|&|Curriculum	1	16,8785503671	89,5489313045	327,99695728	18,0	621,0	 
atmospher co2 concentr	atmospheric CO2 concentrations	atmospheric CO2 concentrations|&|CO2 atmospheric concentrations|&|atmospheric concentrations of CO2|&|concentration of CO2 in the atmosphere|&|CO2 concentration in the atmosphere	3	15,8856944632	85,3773467867	286,830311952	7,0	343,0	 
method product	production methods	production methods	2	6,29455750551	38,8165356986	158,60656087	4,0	291,0	 
fuel	fuel	fuel|&|fuels|&|Fuel|&|FUEL|&|Fuels	1	98,2927344909	360,707981638	695,152922348	219,0	12722,0	 
circular concept economi	concept of circular economy	concept of circular economy|&|circular economy concept	4	7,94284723159	49,418630858	268,360777674	3,0	89,0	 
asia pacif	Asia Pacific	Asia Pacific	2	6,29455750551	43,1795904865	183,646583159	2,0	163,0	 
behalf	behalf	behalf	1	4,96427951974	31,7917394567	166,257881592	5,0	301,0	 
categori impact	impact categories	impact categories|&|impact category	2	81,8292475717	320,393450138	596,469341108	44,0	3213,0	 
cycl life product	product life cycle	product life cycle|&|product life cycles|&|life cycle of a product|&|life cycle of products|&|life cycle product|&|life cycle of the product|&|life cycle of each product	3	57,585642429	236,18833587	498,382856472	25,0	1322,0	 
car	car	car|&|cars|&|Car|&|Cars	1	52,6213629093	230,268513286	398,442379959	78,0	4360,0	 
chromatographi ga	gas chromatography	gas chromatography	2	9,44183625827	54,3964683888	161,806142311	6,0	412,0	 
perform sustain	sustainability performance	sustainability performance|&|sustainable performance	2	9,44183625827	54,3964683888	161,510500367	6,0	322,0	 
graphit	graphite	graphite	1	5,95713542369	39,4793837021	167,942435898	4,0	218,0	 
hope	hope	hope	1	5,95713542369	37,0639731435	158,012229629	6,0	356,0	 
econom incent	economic incentives	economic incentives	2	6,29455750551	38,8165356986	156,494201315	4,0	269,0	 
analysi thermodynam	thermodynamic analysis	thermodynamic analysis	2	6,29455750551	43,1795904865	157,276532874	2,0	99,0	 
oper system	system operation	system operation|&|system operator|&|operation of the system	2	9,44183625827	56,1179186744	272,71654468	5,0	313,0	 
20th centuri	20th century	20th century	2	11,0154756347	63,4625464536	161,177065273	6,0	369,0	 
purpos	purpose	purpose|&|purposes|&|Purpose	1	141,978394265	440,258306684	189,336376279	152,0	9027,0	 
format utsira	Utsira formation	Utsira formation	2	6,29455750551	43,1795904865	181,298010814	2,0	121,0	 
forestri oper	forestry operations	forestry operations	2	6,29455750551	43,1795904865	223,374074927	3,0	185,0	 
direct futur research	future research directions	future research directions|&|directions for future research|&|future directions for research	3	7,94284723159	47,1336161053	187,91702415	4,0	189,0	 
point start	starting point	starting point|&|Starting Points	2	23,6045906457	114,362503334	321,090332448	15,0	910,0	 
concern increas	increased concern	increased concern|&|increasing concern	2	6,29455750551	38,8165356986	163,802438112	4,0	241,0	 
explos	explosion	explosion	1	4,96427951974	34,3276206389	234,702933125	5,0	221,0	 
littl research	little research	little research	2	6,29455750551	38,8165356986	160,509023712	4,0	225,0	 
content moistur	moisture content	moisture content	2	12,589115011	72,5286245184	174,589380642	6,0	471,0	 
recycl	recyclability	recyclability|&|recyclables|&|RECYCLING|&|recyclers	1	13,8999826553	75,7352779659	165,172606235	13,0	669,0	 
diuron	diuron	diuron	1	4,96427951974	39,7814391237	164,723440885	2,0	57,0	 
simul	simulation	simulation|&|simulations|&|Simulation|&|Simulations|&|simulator|&|SIMULATION|&|Simulator	1	118,14985257	396,933521906	245,792976047	172,0	8301,0	 
hydrogen	hydrogen	hydrogen|&|Hydrogen|&|hydrogenation	1	50,6356511014	220,26384976	174,723433148	75,0	3561,0	 
